name,main_category,sub_category,url,brand,price,sku_ids,product_id
Rudergerät D PM5 Concept 2,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-d-pm5-concept-2/_/R-p-X8361558?mc=8361558,CONCEPT 2,"1.164,99 €",2052983,8361558
Laufband Connected kompakt zusammenklappbar 10 % motorisierte Neigung - RUN500,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/laufband-connected-kompakt-zusammenklappbar-10-motorisierte-neigung-run500/_/R-p-306855?mc=8542707,DOMYOS,"699,99 €",2711064,8542707
Hantelset 20 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-20-kg/_/R-p-7449?mc=8018574&c=schwarz,CORENGTH,"59,99 €",411314,8018574
Hantelset 2 × 3 kg - grau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-3-kg-grau/_/R-p-130442?mc=8336581&c=grau,DOMYOS,"19,99 €",712811,8336581
Hantelscheibe Gusseisen 28 mm 5 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gusseisen-28-mm-5-kg/_/R-p-348960?mc=8816725,CORENGTH,"12,99 €",4934746,8816725
Hantelbank 900 verstärkt Schrägbank Negativ-Bank,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelbank-900-verstarkt-schragbank-negativ-bank/_/R-p-342936?mc=8766093,CORENGTH,"149,99 €",4660463,8766093
Rudergerät 500B Self Powered mit App-Steuerung,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-500b-self-powered-mit-app-steuerung/_/R-p-335495?mc=8666894,DOMYOS,"449,99 €",4367777,8666894
Kraftstation geführte Last kompakt - Home Gym 900,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/kraftstation-gefuhrte-last-kompakt-home-gym-900/_/R-p-178181?mc=8484134,CORENGTH,"399,99 €",2526815,8484134
Yogablock Kork,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/yogablock-kork/_/R-p-323475?mc=8577670&c=braun,KIMJALY,"10,99 €",2976432,8577670
Rudergerät Essential R120,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-essential-r120/_/R-p-301442?mc=8501452,DOMYOS,"249,99 €",2491923,8501452
Hantelscheibe Gusseisen 28 mm 10 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gusseisen-28-mm-10-kg/_/R-p-348895?mc=8816726,CORENGTH,"24,99 €",4934747,8816726
"Fitness Band, Trainingsband Cross Training 25 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-cross-training-25-kg/_/R-p-187032?mc=8484820&c=gelb,CORENGTH,"11,99 €",2531586,8484820
"Fitness Band, Trainingsband Crosstraining 15 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-crosstraining-15-kg/_/R-p-187031?mc=8484819&c=blau,CORENGTH,"7,99 €",2531585,8484819
Hantelbank klappbar neigungsverstellbar - 500,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelbank-klappbar-neigungsverstellbar-500/_/R-p-330475?mc=8616804,CORENGTH,"99,99 €",4224992,8616804
Hantelset 2 × 2 kg - dunkelblau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-2-kg-dunkelblau/_/R-p-130388?mc=8336573&c=blau,DOMYOS,"14,99 €",712792,8336573
Crosstraining-Ringe aus Holz,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/crosstraining-ringe-aus-holz/_/R-p-341591?mc=8751180&c=schwarz,CORENGTH,"29,99 €",4581752,8751180
Kraftstation ‒ Power Rack 900,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/kraftstation-‒-power-rack-900/_/R-p-357176?mc=8902450,CORENGTH,"449,99 €",5306794,8902450
Hantelset 2 × 1 kg - grün,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-1-kg-grun/_/R-p-130386?mc=8336571&c=grün,DOMYOS,"9,99 €",712785,8336571
Klimmzugstange Tür verriegelbar 70 cm - BT 150,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/klimmzugstange-tur-verriegelbar-70-cm-bt-150/_/R-p-325833?mc=8588490,CORENGTH,"25,99 €",4044804,8588490
T-R01 Laufband,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/mp/horizon-fitness/t-r01-laufband/_/R-p-9af7d976-ff87-414f-a486-7aaccb05ae91?mc=9af7d976-ff87-414f-a486-7aaccb05ae91_c2.c1.c3&c=grau_schwarz,HORIZON FITNESS,299 €,ef8ab573-810a-41bb-beaa-972c6e162043,9
