name,main_category,sub_category,url,brand,price,sku_ids,product_id
Tennisrucksack - S Team 19 L schwarz,padel-tennis,padelausrustung,https://www.decathlon.de/p/rucksack-schlagertasche-tennis-100-bp/_/R-p-157311?mc=8581375&c=schwarz,ARTENGO,"12,99 €",4006186;4006187,8581375
Padelschläger Kuikma - PR190 blau/grün,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr190/_/R-p-327586?mc=8601005&c=grün_gelb,KUIKMA,"39,99 €",4105759;4105760,8601005
Kinder Padelschläger - PR 110 light blau/gelb,padel-tennis,padelausrustung,https://www.decathlon.de/p/kinder-padelschlager-pr-110-light-blau-gelb/_/R-p-147378?mc=8372030&c=blau,KUIKMA,"24,99 €",2133090,8372030
Padelschläger Erwachsene Kuikma - Comfort Soft,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-erwachsene-kuikma-comfort-soft/_/R-p-348617?mc=8817367&c=rot_weiß_schwarz,KUIKMA,"44,99 €",4925139;4925140;4925141,8817367
Kinder Padelschläger - PR 120 hellorange,padel-tennis,padelausrustung,https://www.decathlon.de/p/kinder-padelschlager-pr-120/_/R-p-338111?mc=8800445&c=orange_blau,KUIKMA,"22,99 €",4846081,8800445
Padelschläger Erwachsene Kuikma - PR 990 Hybrid Soft blau,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr-990-hybrid-soft-lucia-sainz/_/R-p-309097?mc=8797008&c=blau,KUIKMA,"79,99 €",4836648,8797008
Padelschläger Erwachsene - Kuikma Power Metal,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-erwachsene-kuikma-power-metal/_/R-p-341855?mc=8750068,KUIKMA,"109,99 €",4594148,8750068
Padelschläger Kuikma - PR Hybrid Carbon,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr-hybrid-carbon/_/R-p-341828?mc=8750070,KUIKMA,"129,99 €",4594175,8750070
Padelschläger Erwachsene Head - Elektra,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-erwachsene-head-elektra/_/R-p-X8819134?mc=8819134,HEAD,"74,99 €",4947003,8819134
Padelschläger Kuikma - PR190 Light schwarz/blau,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr190-light/_/R-p-327636?mc=8601310&c=blau_rot_orange,KUIKMA,"29,99 €",4108220;4108219,8601310
Padelschläger Babolat - Air Veron 23,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-babolat-air-veron-23/_/R-p-X8898021?mc=8898021,BABOLAT,"139,99 €",5307077,8898021
Padelschläger Kuikma - PR560 blau/gelb,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr560/_/R-p-300383?mc=8487609&c=blau,KUIKMA,"59,99 €",2394193,8487609
Rucksack Urban petrolblau,padel-tennis,padelausrustung,https://www.decathlon.de/p/rucksack-urban/_/R-p-350509?mc=8843530&c=blau_schwarz,KIPSTA,"29,99 €",5035835;5035837,8843530
Dunlop Impact Green Nh,padel-tennis,padelausrustung,https://www.decathlon.de/p/mp/dunlop/dunlop-impact-green-nh/_/R-p-af0dd29e-175e-4d07-a8e7-0c9442c6f401?mc=af0dd29e-175e-4d07-a8e7-0c9442c6f401_c9&c=grün,DUNLOP,"64,90 €",55affe38-a241-43c4-888e-dfcaad783551,
Bullpadel Vertex Pack,padel-tennis,padelausrustung,https://www.decathlon.de/p/mp/bullpadel/bullpadel-vertex-pack/_/R-p-23541a5a-2fd6-4410-9304-3068c137d0b4?mc=23541a5a-2fd6-4410-9304-3068c137d0b4_c20&c=orange,BULLPADEL,199 €,e40eedd8-23a1-4611-a492-4bed31381f48,23541
Padelschläger - PR 990 Power Soft,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-pr-990-power-soft/_/R-p-300395?mc=8772243,KUIKMA,"79,99 €",4689567,8772243
Padelschläger Kinder und Jugendliche Kuikma - PR 560 Light blau,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kinder-und-jugendliche-kuikma-pr-560-light/_/R-p-338069?mc=8734651&c=blau_grün,KUIKMA,"39,99 €",4490575;4490576,8734651
Padelschläger - PR 990 Precision Hard,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-pr-990-precision-hard/_/R-p-300034?mc=8772242,KUIKMA,"79,99 €",4689544,8772242
HEAD FLASH 23 Padelschläger,padel-tennis,padelausrustung,https://www.decathlon.de/p/mp/head/head-flash-23-padelschlager/_/R-p-9b8d4488-2668-4a78-bc75-0f008b5a010e?mc=9b8d4488-2668-4a78-bc75-0f008b5a010e_c60.c191&c=rosa_grün,HEAD,67 €,39ef3c9c-23f5-407b-8b1c-d613c4862469,9
Padelbälle Druckbälle PB Club - 3er-Dose,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelballe-druckballe-pb-club-3er-dose/_/R-p-347487?mc=8806720,KUIKMA,"4,49 €",4878604,8806720
