name,main_category,sub_category,url,brand,price,sku_ids,product_id
Tennisrucksack - S Team 19 L schwarz,padel-tennis,padelausrustung,https://www.decathlon.de/p/rucksack-schlagertasche-tennis-100-bp/_/R-p-157311?mc=8581375&c=schwarz,ARTENGO,"12,99 €",4006186;4006187,8581375
Padelschläger Kuikma - PR190 blau/grün,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr190/_/R-p-327586?mc=8601005&c=grün_gelb,KUIKMA,"39,99 €",4105759;4105760,8601005
Padelschläger Erwachsene Kuikma - Comfort Soft,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-erwachsene-kuikma-comfort-soft/_/R-p-348617?mc=8817367&c=rot_weiß_schwarz,KUIKMA,"44,99 €",4925139;4925140;4925141,8817367
Kinder Padelschläger - PR 110 light blau/gelb,padel-tennis,padelausrustung,https://www.decathlon.de/p/kinder-padelschlager-pr-110-light-blau-gelb/_/R-p-147378?mc=8372030&c=blau,KUIKMA,"24,99 €",2133090,8372030
Kinder Padelschläger - PR 120 hellorange,padel-tennis,padelausrustung,https://www.decathlon.de/p/kinder-padelschlager-pr-120/_/R-p-338111?mc=8800445&c=orange_blau,KUIKMA,"22,99 €",4846081,8800445
Padelbälle Druckbälle PB Club - 3er-Dose,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelballe-druckballe-pb-club-3er-dose/_/R-p-347487?mc=8806720,KUIKMA,"4,49 €",4878604,8806720
Tripack Padel-Ball Head,padel-tennis,padelausrustung,https://www.decathlon.de/p/tripack-padel-ball-head/_/R-p-X8397246?mc=8397246&c=gelb,HEAD,"12,99 €",2354509,8397246
Padelbälle Druckbälle PB Speed - Drei 3er-Dosen,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelballe-druckballe-pb-speed-drei-3er-dosen/_/R-p-347273?mc=8804642,KUIKMA,"12,99 €",4867868,8804642
Padelbälle Babolat Court ×3,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelballe-babolat-court-×3/_/R-p-X8742584?mc=8742584,BABOLAT,"4,99 €",4572624,8742584
Padelschläger Erwachsene Kuikma - PR 990 Hybrid Soft blau,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr-990-hybrid-soft-lucia-sainz/_/R-p-309097?mc=8797008&c=blau,KUIKMA,"79,99 €",4836648,8797008
Padelbälle mit Druck Karton 24 Schläuche à 3 Bälle - Head Padel Pro S,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelballe-mit-druck-karton-24-schlauche-a-3-balle-head-padel-pro-s/_/R-p-356348?mc=8901564,HEAD,"119,99 €",5286283,8901564
HEAD FLASH 23 Padelschläger,padel-tennis,padelausrustung,https://www.decathlon.de/p/mp/head/head-flash-23-padelschlager/_/R-p-9b8d4488-2668-4a78-bc75-0f008b5a010e?mc=9b8d4488-2668-4a78-bc75-0f008b5a010e_c60.c191&c=rosa_grün,HEAD,67 €,39ef3c9c-23f5-407b-8b1c-d613c4862469,9
Padelschläger Kuikma - PR Hybrid Carbon,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr-hybrid-carbon/_/R-p-341828?mc=8750070,KUIKMA,"129,99 €",4594175,8750070
Padelschläger Kuikma - PR560 blau/gelb,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-kuikma-pr560/_/R-p-300383?mc=8487609&c=blau,KUIKMA,"59,99 €",2394193,8487609
Dunlop Impact Green Nh,padel-tennis,padelausrustung,https://www.decathlon.de/p/mp/dunlop/dunlop-impact-green-nh/_/R-p-af0dd29e-175e-4d07-a8e7-0c9442c6f401?mc=af0dd29e-175e-4d07-a8e7-0c9442c6f401_c9&c=grün,DUNLOP,"64,90 €",55affe38-a241-43c4-888e-dfcaad783551,
Rucksack Urban petrolblau,padel-tennis,padelausrustung,https://www.decathlon.de/p/rucksack-urban/_/R-p-350509?mc=8843530&c=blau_schwarz,KIPSTA,"29,99 €",5035835;5035837,8843530
Dunlop Samurai Soft,padel-tennis,padelausrustung,https://www.decathlon.de/p/mp/dunlop/dunlop-samurai-soft/_/R-p-750458ba-a873-4ab3-82ba-6d4c13116436?mc=750458ba-a873-4ab3-82ba-6d4c13116436_c255&c=bunt,DUNLOP,"64,90 €",6c556411-c678-4a58-8caf-5eb1a9ac1362,750458
Padelschläger Babolat - Air Veron 23,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlager-babolat-air-veron-23/_/R-p-X8898021?mc=8898021,BABOLAT,"139,99 €",5307077,8898021
Padelbälle mit Druck 3er-Schlauch - Head Padel Pro,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelballe-mit-druck-3er-schlauch-head-padel-pro/_/R-p-X8397254?mc=8397254&c=gelb,HEAD,"5,99 €",2354547,8397254
Padelhülle thermoisolierend - Kuikma PC Elite schwarz,padel-tennis,padelausrustung,https://www.decathlon.de/p/padelschlagerhulle-isoliert-kuikma-pc-900/_/R-p-327645?mc=8852960,KUIKMA,"12,99 €",5075552;4105988,8852960
