name,main_category,sub_category,url,brand,price,sku_ids,product_id
Rudergerät D PM5 Concept 2,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-d-pm5-concept-2/_/R-p-X8361558?mc=8361558,CONCEPT 2,"1.164,99 €",2052983,8361558
Hantelscheibe Gusseisen 28 mm 5 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gusseisen-28-mm-5-kg/_/R-p-348960?mc=8816725,CORENGTH,"12,99 €",4934746,8816725
Yogablock Kork,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/yogablock-kork/_/R-p-323475?mc=8577670&c=braun,KIMJALY,"10,99 €",2976432,8577670
Hantelset 20 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-20-kg/_/R-p-7449?mc=8018574&c=schwarz,CORENGTH,"59,99 €",411314,8018574
Hantelbank 900 verstärkt Schrägbank Negativ-Bank,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelbank-900-verstarkt-schragbank-negativ-bank/_/R-p-342936?mc=8766093,CORENGTH,"149,99 €",4660463,8766093
"Fitness Band, Trainingsband Crosstraining 15 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-crosstraining-15-kg/_/R-p-187031?mc=8484819&c=blau,CORENGTH,"7,99 €",2531585,8484819
"Fitness Band, Trainingsband Cross Training 25 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-cross-training-25-kg/_/R-p-187032?mc=8484820&c=gelb,CORENGTH,"11,99 €",2531586,8484820
Rudergerät Essential R120,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-essential-r120/_/R-p-301442?mc=8501452,DOMYOS,"249,99 €",2491923,8501452
Kraftstation geführte Last kompakt - Home Gym 900,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/kraftstation-gefuhrte-last-kompakt-home-gym-900/_/R-p-178181?mc=8484134,CORENGTH,"399,99 €",2526815,8484134
Hantelset 2 × 3 kg - grau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-3-kg-grau/_/R-p-130442?mc=8336581&c=grau,DOMYOS,"19,99 €",712811,8336581
T-R01 Laufband,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/mp/horizon-fitness/t-r01-laufband/_/R-p-9af7d976-ff87-414f-a486-7aaccb05ae91?mc=9af7d976-ff87-414f-a486-7aaccb05ae91_c2.c1.c3&c=grau_schwarz,HORIZON FITNESS,299 €,ef8ab573-810a-41bb-beaa-972c6e162043,9
Laufband Connected kompakt zusammenklappbar 10 % motorisierte Neigung - RUN500,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/laufband-connected-kompakt-zusammenklappbar-10-motorisierte-neigung-run500/_/R-p-306855?mc=8542707,DOMYOS,"699,99 €",2711064,8542707
Rudergerät 500B Self Powered mit App-Steuerung,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-500b-self-powered-mit-app-steuerung/_/R-p-335495?mc=8666894,DOMYOS,"449,99 €",4367777,8666894
Liegestützgriffe - Push Up Bars 500 blau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/liegestutzgriffe-push-up-bars-500-blau/_/R-p-311441?mc=8556754&c=blau,CORENGTH,"6,99 €",2925689,8556754
Hantelscheibe Gusseisen 28 mm 10 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gusseisen-28-mm-10-kg/_/R-p-348895?mc=8816726,CORENGTH,"24,99 €",4934747,8816726
Hantelset 2 × 2 kg - dunkelblau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-2-kg-dunkelblau/_/R-p-130388?mc=8336573&c=blau,DOMYOS,"14,99 €",712792,8336573
Heimtrainer Zipro One S magnetisch mit Computer Ergometer 8 Widerstandsstufen,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/mp/zipro/heimtrainer-zipro-one-s-magnetisch-mit-computer-ergometer-8-widerstandsstufen/_/R-p-48d1f504-528e-4914-872f-3fc5ee9dea8c?mc=48d1f504-528e-4914-872f-3fc5ee9dea8c_c1.c5&c=schwarz_blau,ZIPRO,115 €,87fbc97d-f213-4ed0-80e1-5e37be37f389,48
Crosstraining-Ringe aus Holz,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/crosstraining-ringe-aus-holz/_/R-p-341591?mc=8751180&c=schwarz,CORENGTH,"29,99 €",4581752,8751180
Hantelverschlüsse Smart Stop Disc 15 kg 28 mm,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelverschlusse-smart-stop-disc-15-kg-28-mm/_/R-p-312648?mc=8574652,CORENGTH,"4,99 €",2923491,8574652
Bodenschutzmatte 58 × 58 cm modulierbar,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/bodenschutzmatte-58-×-58-cm-modulierbar/_/R-p-334705?mc=8651539,DOMYOS,"14,99 €",4345075,8651539
