name,main_category,sub_category,url,brand,price,sku_ids,product_id
Kinder Basketball Grösse 5 - R100 gelb,basketball,basketballe-netballe,https://www.decathlon.de/p/kinder-basketball-grosse-5-r100-gelb/_/R-p-306399?mc=8547126&c=gelb,TARMAK,"7,99 €",2745729,8547126
Ballpumpe Fussballpumpe Manometer Doppelhub mit Schlauch schwarz,basketball,basketballe-netballe,https://www.decathlon.de/p/ballpumpe-fussballpumpe-manometer-doppelhub-mit-schlauch-schwarz/_/R-p-105527?mc=8365293,KIPSTA,"11,99 €",2080885,8365293
Kinder Basketball Grösse 5 - BT500 bunt,basketball,basketballe-netballe,https://www.decathlon.de/p/kinder-basketball-grosse-5-bt500/_/R-p-333438?mc=8796499&c=grün_blau_orange,TARMAK,"27,99 €",4833506;4325031,8796499
Basketball Grösse 7 - R100 orange,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-grosse-7-r100-orange/_/R-p-306440?mc=8547127&c=orange,TARMAK,"7,99 €",2745730,8547127
Kinder Basketball Grösse 1 - K100 Rubber Mini blau,basketball,basketballe-netballe,https://www.decathlon.de/p/mini-basketball-kinder-mini-b-große-1-fur-kinder-bis-4-jahren-rose/_/R-p-15865?mc=8616154&c=blau,TARMAK,"4,99 €",4232398;4232397;2744743;4232399,8616154
Basketball K500 Grösse 4 für Kinder blau/orange,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-k500-play-kinder-einsteiger/_/R-p-169493?mc=8734255&c=blau_rot,TARMAK,"14,99 €",4486877;4486879,8734255
Basketball BT900 FIBA Grip Grösse 7 orange,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-bt900-fiba-grip-grosse-7-orange/_/R-p-330770?mc=8618639,TARMAK,"44,99 €",4228337,8618639
Basketball Grösse 7 FIBA-Zulassung - BT500 braun,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-grosse-7-fiba-zulassung-bt500/_/R-p-333543?mc=8648082,TARMAK,"24,99 €",4325035;4833467;4833466;4833468,8648082
Basketball Grösse 7 FIBA-Zulassung - BT500 violett/grün,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-grosse-7-fiba-zulassung-bt500/_/R-p-333543?mc=8796492&c=rosa_grün_violett,TARMAK,"27,99 €",4833466;4325035;4833467;4833468,8796492
Basketball Grösse 6 - R500 violett/türkis,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-grosse-6-r500/_/R-p-330740?mc=8853512,TARMAK,"14,99 €",5085127;4227500,8853512
Basketball Kinder Gr. 3 K500 Rubber blau/rot,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-k500-rubber-grosse-3-kinder/_/R-p-142731?mc=8734249,TARMAK,"9,99 €",4486869,8734249
Kinder Basketball Grösse 5 bis 10 Jahre Einsteiger- BT100 orange,basketball,basketballe-netballe,https://www.decathlon.de/p/kinder-basketball-grosse-5-bis-10-jahre-einsteiger-bt100-orange/_/R-p-333336?mc=8648074,TARMAK,"17,99 €",4325027,8648074
Basketball - BT900 Grösse 7 mit FIBA-Zulassung für Herren/Jungen ab 13 Jahren,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-bt900-grosse-7-mit-fiba-zulassung-fur-herren-jungen-ab-13-jahren/_/R-p-333516?mc=8648080,TARMAK,"39,99 €",4325033,8648080
Basketball Grösse 5 Light & Soft - K900 Wizzy orange/violett,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-grosse-5-light-soft-k900-wizzy/_/R-p-313441?mc=8773091,TARMAK,"14,99 €",4711336;4672274;4672276,8773091
Basketball R900 Damen/Herren Gr. 7 rot/schwarz robust und supergriffig,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-r900-damen-herren-gr-7-rot-schwarz-robust-und-supergriffig/_/R-p-313426?mc=8577298&c=schwarz,TARMAK,"19,99 €",2973633,8577298
Basketball Grösse 7 - R500 rot/gelb,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-r500-grosse-7/_/R-p-330717?mc=8853519,TARMAK,"14,99 €",5085163;4227527;4484458;5085164,8853519
Basketball Grip Grösse 7 - BT500 braun/orange,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-grip-grosse-7-bt500/_/R-p-333527?mc=8648081,TARMAK,"29,99 €",4325034;4775649;4833510,8648081
Basketball Grösse 6- Resist 900 gelb/schwarz,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-grosse-6-resist-900-gelb-schwarz/_/R-p-345017?mc=8853543,TARMAK,"19,99 €",5085280,8853543
"Mini Ballpumpe mit flexiblem Schlauch für Fußball Basketball Volleyball, ...",basketball,basketballe-netballe,https://www.decathlon.de/p/mp/beach-volleyball-apparel/mini-ballpumpe-mit-flexiblem-schlauch-fur-fußball-basketball-volleyball/_/R-p-b96aa7c3-5f70-4c17-b35e-1e5a6cfa1baa?mc=b96aa7c3-5f70-4c17-b35e-1e5a6cfa1baa_c1&c=schwarz,BEACH VOLLEYBALL APPAREL,"9,99 €",8264d9cc-6034-48ba-b44a-a4127b838c09,
Basketball Grösse 6 - BT500 Touch mit FIBA Zulassung violett/rot,basketball,basketballe-netballe,https://www.decathlon.de/p/basketball-grosse-6-bt500-touch-mit-fiba-zulassung/_/R-p-333503?mc=8796501,TARMAK,"24,99 €",4833508;4325032,8796501
